Participant ID,[Optional] What is your age?,"[Optional] To which gender identity do you most identify? 
(If not listed, please specify in ""Other"")","[Optional] According to the Fitzpatrick scale 
(https://en.wikipedia.org/wiki/Fitzpatrick_scale),
How would you classify your skin type?",[Optional] Where are you from? ,"[Optional] What is the highest degree or 
Level of school you have completed? ","[Optional] Have your received any formal musical training 
(beyond the usual music lessons in school)?","[Optional] Do you regularly engage in playing, 
Djing or producing any kind of music? ","[Optional] Would you describe 
Your musical taste as varied?","[Optional] Do you often 
Listen to Electronic Music?","[Optional] Within Electronic music, 
Would you describe your musical taste as varied?",Do you know these? [Kraftwerk],Do you know these? [Daft Punk],Do you know these? [Tangerine Dream],Do you know these? [The Chemical Brothers],Do you know these? [DJ Shadow],Do you know these? [Aphex Twin],Do you know these? [Roni Size],Do you know these? [Underworld],Do you know these? [Vangelis],Do you know these? [Moby],Do you know these? [The Prodigy],Do you know these? [Goldie],Do you know these? [Orbital],Do you know these? [Skrillex],Do you know these? [Deadmau5],Do you know these? [Nur Jaber],Do you know these? [DJ Rachael],Do you know these? [Deena Abdelwahed],Do you know these? [Loraine James],Do you know these? [Ibaaku],Do you know these? [Lafidki],Do you know these? [Upgrayedd Smurphy],Do you know these? [Sandunes],Do you know these? [Kerano],Do you know these? [Kamila Govorčin],Do you know these? [Echo Deep],Do you know these? [Faded Ghost],Do you know these? [AYN],Do you know these? [Amine K],Do you know these? [Dj Rashad],Familiarity Score,TRACK task 1,TRACK task 2,TRACK task 3,TRACK task 4,"Looking back at your choices, I
Ndicate what influenced you the most.","Looking back at your choices, indicate if 
these factors influenced your decision: 
[Tempo/BPM (fast vs. slow)]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Sub-genres or sub-styles]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Feelings, emotions, mood]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Instruments and samples]","If other factors influenced your choices, 
Please specify them:",ARTIST task 1,ARTIST task 2,ARTIST task 3,ARTIST task 4,"Looking back at your choices, 
Indicate what influenced you the most.","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Race / color / skin type]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Sex / gender / sexual orientation]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Age]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Language / nationality / social origin]","If other factors influenced your choices, 
please specify them:",BOTH task 1,BOTH task 2,BOTH task 3,BOTH task 4,"Looking back at your choices, 
Indicate what influenced you the most.","Looking back at your choices, 
Which one did you weight the most:"
1,25-34 years old,Male,5,South America,"Master’s degree (e.g. MA, MS, MEd)",Yes,4,5,4,3,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.24,List B,List A,I don't know,List A,My listening of the tracks now,Strong influence,Medium influence,Medium influence,Weak influence,,List B,List B,I don't know,I don't know,My seeing of the artists now,Strong influence,Strong influence,Strong influence,Strong influence,,List A,List B,List B,List B,My previous knowledge/familiarity with the tracks and the artists,2
2,35-44 years old,Female,2,Europe,"Doctorate (e.g. PhD, EdD)",No,5,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.49,List B,List A,I don't know,List B,My previous knowledge/familiarity with the tracks,Strong influence,Strong influence,Medium influence,Strong influence,"Instrumentals/vocals, atmosphere ",List B,List B,List A,List A,My previous knowledge/familiarity with the artists,Strong influence,Medium influence,No influence,Strong influence,Music style,List B,List B,List A,I don't know,My listening of the tracks and seeing of the artists now,3
3,18-24 years old,Male,2,Europe,"Master’s degree (e.g. MA, MS, MEd)",Yes,5,4,5,4,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.36,List B,List A,List A,List B,My previous knowledge/familiarity with the tracks,Medium influence,Strong influence,Medium influence,Medium influence,Knowledge of the culture / values surrounding genres and the time period which they captured. ,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Medium influence,,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,4
4,45-54 years old,Male,3,Europe,"Doctorate (e.g. PhD, EdD)",Yes,4,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.33,List B,List A,List A,List B,My listening of the tracks now,Medium influence,No influence,Medium influence,Strong influence,"rhythm patterns, presence of voice, presence of pads",List B,List B,List A,List B,My seeing of the artists now,Weak influence,Strong influence,No influence,Strong influence,nationality from countries outside Europe or USA,List B,List B,List A,List A,My listening of the tracks and seeing of the artists now,3
5,25-34 years old,Male,2,,"Bachelor’s degree (e.g. BA, BS)",No,1,5,3,5,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,0.20,List B,List A,List A,List B,My listening of the tracks now,Strong influence,Weak influence,Strong influence,Medium influence,,List B,List B,List A,List B,My seeing of the artists now,Medium influence,Strong influence,Weak influence,Strong influence,,List B,List B,List A,List B,My listening of the tracks and seeing of the artists now,3
6,35-44 years old,Male,3,South America,"Master’s degree (e.g. MA, MS, MEd)",Yes,1,5,5,4,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.24,List B,List A,List A,List B,My previous knowledge/familiarity with the tracks,Strong influence,Strong influence,No influence,Strong influence,underground and experimental mood,List B,List B,I don't know,List B,My previous knowledge/familiarity with the artists,Strong influence,Strong influence,No influence,Strong influence,,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,2
7,25-34 years old,Male,2,,"Bachelor’s degree (e.g. BA, BS)",Yes,3,5,4,4,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,0.36,List B,List A,List A,List B,My listening of the tracks now,Medium influence,Weak influence,Strong influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Medium influence,Weak influence,Weak influence,,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,2
8,45-54 years old,Female,4,North America,"Master’s degree (e.g. MA, MS, MEd)",No,1,4,5,4,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.16,List B,List A,List A,List B,My listening of the tracks now,Medium influence,Strong influence,No influence,Medium influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Medium influence,Medium influence,Weak influence,,List B,List B,List A,List B,My listening of the tracks and seeing of the artists now,2
9,35-44 years old,Male,1,Europe,"Doctorate (e.g. PhD, EdD)",No,4,5,4,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.35,List B,List A,List A,List A,My listening of the tracks now,Strong influence,Strong influence,Weak influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Medium influence,Weak influence,Strong influence,,List B,List B,List A,List A,My listening of the tracks and seeing of the artists now,3
10,25-34 years old,Male,4,South America,"Bachelor’s degree (e.g. BA, BS)",Yes,5,4,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.17,List B,List B,List A,List B,My listening of the tracks now,Medium influence,Strong influence,Strong influence,Weak influence,,List B,List B,List A,List A,My previous knowledge/familiarity with the artists,Medium influence,Medium influence,No influence,Strong influence,I'm Chilean,List B,List B,List B,List B,My listening of the tracks and seeing of the artists now,3
